arise	arose	arisen	powstawaæ, pojawiaæ siê
awake	awoke	awoken	budziæ siê
be	were	been	byæ
be	was	been	byæ
bear	bore	borne	nosiæ
become	became	become	zostawaæ
befall	befell	befallen	przytrafiæ siê, zdarzaæ siê
beget	begot	begotten	zrodziæ, spowodowaæ, wywo³aæ
begin	began	begun	zaczynaæ siæ, rozpocz±æ
behold	beheld	beheld	ujrzeæ, zobaczyæ, spostrzec
bend	bent	bent	pochyliæ siê
beset	beset	beset	drêczyæ, prze¶ladowaæ, napastowaæ, oblegaæ, osaczaæ
bet	betted	betted	zak³adaæ siê, postawiæ na co¶
bet	bet	bet	zak³adaæ siê, postawiæ na co¶
bid	bade	bidden	kazaæ, rozkazaæ komu¶
bid	bid	bid	licytowaæ, zaoferowaæ cenê
bind	bound	bound	przywi±zywaæ, zwi±zywaæ, uwi±zywaæ
bite	bit	bitten	gry¼æ, k±saæ, przygryzaæ, nadgryzaæ, odgryzaæ
bleed	bled	bled	krwawiæ, ulatniaæ siê (o gazie)
blow	blew	blown	dmuchaæ, d±æ, wiaæ, wysi±kaæ nos, rozkwitaæ
break	broke	broken	t³uc, ³amaæ, pogruchotaæ, zepsuæ siê
breed	bred	bred	hodowaæ
bring	brought	brought	przynosiæ, przywoziæ, przyprowadzaæ, sprowadzaæ, nanie¶æ, zmusiæ siê
build	built	built	budowaæ
burn	burnt	butnt	paliæ, parzyæ, podpalaæ, spalaæ siê
burst	burst	burst	rozrywaæ, rozsadzaæ, pêkaæ, wybuchaæ
buy	bought	bought	kupowaæ, nabywaæ
cast	cast	cast	rzucaæ, ciskaæ, obsadzaæ, obsadziæ
catch	caught	caught	³apaæ, z³apaæ, chwyciæ, z³owiæ
choose	chose	chosen	wybieraæ, typowaæ
cling	clung	clung	przylgn±æ, przywieraæ, trzymaæ siê kurczowo
come	came	come	przychodziæ, przyje¿d¿aæ, przybywaæ, nadci±gaæ
cost	cost	cost	kosztowaæ
creep	crept	crept	skradaæ siê, czo³gaæ siê, pe³zaæ, cierpn±æ (o skórze)
cut	cut	cut	kroiæ, ci±æ
deal	dealt	dealt	rozdzielaæ, dotyczyæ, traktowaæ
dig	dug	dug	kopaæ, poszukiwaæ
drive	drove	driven	kierowaæ
dwell	dwelt	dwelt	mieszkaæ
eat	ate	eaten	je¶æ
fall	fell	fallen	upa¶æ, spadaæ
feed	fed	fed	karmiæ, ¿ywiæ
feel	felt	felt	czuæ
fight	fought	fought	walczyæ
find	found	found	znale¼æ
fit	fit	fit	pasowaæ
flee	fled	fled	uciekaæ, zbiec
fling	flung	flung	ciskaæ, rzucaæ
fly	flew	flown	lataæ
forbid	forbade	forbidden	zakazaæ
forecast	forecast	forecast	zapowiadaæ, przepowiadaæ
forget	forgot	forgotten	zapominaæ, zapomnieæ
forgive	forgave	forgiven	wybaczaæ
forsake	forsook	forsaken	porzucaæ
freeze	froze	frozen	zamarzaæ, mroziæ
get	got	gotten	dostaæ
get	got	got	dostaæ
give	gave	given	dawaæ
go	went	gone	i¶æ
grind	ground	ground	mleæ, kruszyæ
grow	grew	grown	rosn±æ
hang	hung	hung	powiesiæ
have	had	had	mieæ
hear	heard	heard	s³yszeæ
hew	hewed	hewn	r±baæ
hide	hid	hidden	schowaæ, skrywaæ
hit	hit	hit	uderzyæ, uderzaæ
hold	held	held	trzymaæ
hurt	hurt	hurt	raniæ
keep	kept	kept	trzymaæ, zachowaæ
kneel	knelt	knelt	klêczeæ
knit	knit	knit	robiæ na drutach
know	knew	known	wiedzieæ
lay	laid	laid	k³a¶æ
lead	led	led	prowadziæ
lean	leant	leant	pochylaæ siê
leap	leapt	leapt	skakaæ
learn	learnt	learnt	uczyæ siê
leave	left	left	zostawiaæ, wychodziæ
lend	lent	lent	po¿yczaæ
let	let	let	pozwoliæ
lie	lay	lain	le¿eæ
light	lit	lit	o¶wietlaæ, zapalaæ
lose	lost	lost	gubiæ
make	made	made	robiæ
mean	meant	meant	znaczyæ, oznaczaæ
meet	met	met	spotkaæ
mistake	mistook	mistaken	pomyliæ
mow	mowed	mown	kosiæ
pay	paid	paid	p³aciæ
plead	pled	pled	b³agaæ
prove	proved	proved	udowadniaæ, wykazaæ
prove	proved	proven	udowadniaæ, wykazaæ
put	put	put	k³a¶æ
quit	quit	quit	zrezygnowaæ
read	read	read	czytaæ
rend	rent	rent	drzeæ
rid	rid	rid	oczy¶ciæ, pozbyæ siê
ride	rode	ridden	je¼dziæ
ring	rang	rung	dzwoniæ
rise	rose	risen	rosn±æ, wzrastaæ
run	ran	run	biec
saw	sawed	sawn	pi³owaæ
see	saw	seen	widzieæ
seek	sought	sought	szukaæ
sell	sold	sold	sprzedawaæ
send	sent	sent	wysy³aæ
set	set	set	nastawiæ
sew	sewed	sewn	szyæ
shake	shook	shaken	trz±¶æ
shear	shore	shorn	strzyc
shed	shed	shed	zrzucaæ z siebie, pozbywaæ siê, traciæ (np. w³osy)
shine	shone	shone	¶wieciæ, pob³yskiwaæ, l¶niæ
shoe	shod	shod	obuæ
shoot	shot	shot	strzelaæ
